name,datetime,soilmoisture_5cm,soilmoisture_20cm,soilmoisture_60cm,soilmoisture_75cm
Texas,1/1/2002,0.121,0.175,0.131,0.121
Texas,1/2/2002,0.121,0.176,0.132,0.121
Texas,1/3/2002,0.118,0.17,0.129,0.118
Texas,1/4/2002,0.119,0.171,0.13,0.119
Texas,1/5/2002,0.119,0.172,0.131,0.12
Texas,1/6/2002,0.116,0.167,0.128,0.117
Texas,1/7/2002,0.117,0.169,0.129,0.118
Texas,1/8/2002,0.113,0.164,0.125,0.115
Texas,1/9/2002,0.114,0.166,0.127,0.116
Texas,1/10/2002,0.114,0.166,0.127,0.117
Texas,1/11/2002,0.114,0.166,0.128,0.118
Texas,1/12/2002,0.114,0.165,0.129,0.119
Texas,1/13/2002,0.114,0.166,0.131,0.12
Texas,1/14/2002,0.11,0.16,0.127,0.117
Texas,1/15/2002,0.113,0.164,0.131,0.121
Texas,1/16/2002,0.11,0.161,0.129,0.119
Texas,1/17/2002,0.111,0.161,0.13,0.121
Texas,1/18/2002,0.112,0.161,0.132,0.122
Texas,1/19/2002,0.11,0.159,0.131,0.121
Texas,1/20/2002,0.109,0.158,0.131,0.121
Texas,1/21/2002,0.109,0.156,0.13,0.12
Texas,1/22/2002,0.105,0.15,0.127,0.117
Texas,1/23/2002,0.106,0.152,0.129,0.119
Texas,1/24/2002,0.124,0.152,0.13,0.121
Texas,1/25/2002,0.152,0.15,0.13,0.12
Texas,1/26/2002,0.148,0.149,0.128,0.118
Texas,1/27/2002,0.145,0.149,0.127,0.118
Texas,1/28/2002,0.142,0.151,0.127,0.118
Texas,1/29/2002,0.14,0.154,0.127,0.118
Texas,1/30/2002,0.161,0.156,0.128,0.119
Texas,1/31/2002,0.173,0.176,0.128,0.119
Texas,2/1/2002,0.166,0.192,0.129,0.12
Texas,2/2/2002,0.16,0.191,0.127,0.119
Texas,2/3/2002,0.16,0.194,0.128,0.119
Texas,2/4/2002,0.158,0.193,0.127,0.119
Texas,2/5/2002,0.199,0.223,0.129,0.12
Texas,2/6/2002,0.189,0.237,0.129,0.121
Texas,2/7/2002,0.18,0.233,0.13,0.122
Texas,2/8/2002,0.172,0.226,0.128,0.12
Texas,2/9/2002,0.169,0.225,0.13,0.121
Texas,2/10/2002,0.165,0.222,0.13,0.121
Texas,2/11/2002,0.163,0.219,0.129,0.121
Texas,2/12/2002,0.156,0.21,0.125,0.117
Texas,2/13/2002,0.159,0.216,0.13,0.122
Texas,2/14/2002,0.156,0.212,0.129,0.121
Texas,2/15/2002,0.154,0.212,0.129,0.121
Texas,2/16/2002,0.152,0.211,0.129,0.121
Texas,2/17/2002,0.148,0.206,0.128,0.12
Texas,2/18/2002,0.147,0.206,0.129,0.121
Texas,2/19/2002,0.144,0.207,0.13,0.122
Texas,2/20/2002,0.141,0.204,0.13,0.121
Texas,2/21/2002,0.138,0.203,0.13,0.122
Texas,2/22/2002,0.136,0.201,0.13,0.122
Texas,2/23/2002,0.132,0.197,0.13,0.121
Texas,2/24/2002,0.129,0.194,0.13,0.121
Texas,2/25/2002,0.125,0.19,0.129,0.12
Texas,2/26/2002,0.122,0.183,0.127,0.119
Texas,2/27/2002,0.122,0.184,0.129,0.121
Texas,2/28/2002,0.121,0.182,0.129,0.12
Texas,3/1/2002,0.12,0.181,0.129,0.12
Texas,3/2/2002,0.12,0.18,0.131,0.122
Texas,3/3/2002,0.12,0.178,0.13,0.122
Texas,3/4/2002,0.119,0.177,0.13,0.122
Texas,3/5/2002,0.118,0.175,0.129,0.121
Texas,3/6/2002,0.116,0.172,0.129,0.121
Texas,3/7/2002,0.114,0.169,0.129,0.12
Texas,3/8/2002,0.113,0.167,0.13,0.121
Texas,3/9/2002,0.113,0.164,0.13,0.122
Texas,3/10/2002,0.111,0.16,0.129,0.121
Texas,3/11/2002,0.11,0.158,0.129,0.121
Texas,3/12/2002,0.109,0.156,0.13,0.121
Texas,3/13/2002,0.108,0.154,0.13,0.122
Texas,3/14/2002,0.106,0.151,0.13,0.122
Texas,3/15/2002,0.105,0.148,0.13,0.121
Texas,3/16/2002,0.104,0.145,0.129,0.121
Texas,3/17/2002,0.104,0.146,0.13,0.122
Texas,3/18/2002,0.103,0.145,0.131,0.123
Texas,3/19/2002,0.204,0.21,0.13,0.122
Texas,3/20/2002,0.215,0.275,0.13,0.122
Texas,3/21/2002,0.188,0.254,0.136,0.122
Texas,3/22/2002,0.178,0.245,0.164,0.122
Texas,3/23/2002,0.175,0.242,0.176,0.122
Texas,3/24/2002,0.169,0.238,0.179,0.122
Texas,3/25/2002,0.165,0.232,0.179,0.122
Texas,3/26/2002,0.163,0.229,0.18,0.122
Texas,3/27/2002,0.159,0.226,0.178,0.122
Texas,3/28/2002,0.156,0.225,0.179,0.122
Texas,3/29/2002,0.15,0.221,0.178,0.122
Texas,3/30/2002,0.213,0.269,0.196,0.121
Texas,3/31/2002,0.205,0.278,0.234,0.198
Texas,4/1/2002,0.193,0.27,0.23,0.231
Texas,4/2/2002,0.181,0.258,0.222,0.232
Texas,4/3/2002,0.175,0.249,0.215,0.228
Texas,4/4/2002,0.172,0.246,0.211,0.226
Texas,4/5/2002,0.168,0.24,0.206,0.22
Texas,4/6/2002,0.167,0.239,0.204,0.218
Texas,4/7/2002,0.18,0.241,0.204,0.218
Texas,4/8/2002,0.173,0.239,0.201,0.214
Texas,4/9/2002,0.168,0.237,0.2,0.212
Texas,4/10/2002,0.163,0.234,0.197,0.209
Texas,4/11/2002,0.155,0.229,0.194,0.206
Texas,4/12/2002,0.145,0.224,0.191,0.204
Texas,4/13/2002,0.139,0.22,0.188,0.201
Texas,4/14/2002,0.136,0.219,0.189,0.201
Texas,4/15/2002,0.128,0.211,0.185,0.198
Texas,4/16/2002,0.122,0.202,0.181,0.193
Texas,4/17/2002,0.117,0.19,0.176,0.188
Texas,4/18/2002,0.116,0.184,0.173,0.185
Texas,4/19/2002,0.112,0.176,0.168,0.178
Texas,4/20/2002,0.111,0.171,0.166,0.177
Texas,4/21/2002,0.11,0.166,0.163,0.173
Texas,4/22/2002,0.109,0.162,0.16,0.17
Texas,4/23/2002,0.108,0.159,0.157,0.167
Texas,4/24/2002,0.105,0.154,0.153,0.162
Texas,4/25/2002,0.143,0.172,0.15,0.158
Texas,4/26/2002,0.194,0.246,0.151,0.16
Texas,4/27/2002,0.195,0.252,0.148,0.157
Texas,4/28/2002,0.174,0.242,0.146,0.156
Texas,4/29/2002,0.163,0.234,0.145,0.154
Texas,4/30/2002,0.154,0.227,0.145,0.154
Texas,5/1/2002,0.143,0.217,0.143,0.152
Texas,5/2/2002,0.135,0.207,0.143,0.151
Texas,5/3/2002,0.131,0.201,0.142,0.151
Texas,5/4/2002,0.126,0.194,0.141,0.15
Texas,5/5/2002,0.12,0.184,0.139,0.148
Texas,5/6/2002,0.118,0.178,0.139,0.148
Texas,5/7/2002,0.114,0.168,0.138,0.147
Texas,5/8/2002,0.111,0.159,0.137,0.146
Texas,5/9/2002,0.106,0.151,0.133,0.142
Texas,5/10/2002,0.104,0.147,0.133,0.141
Texas,5/11/2002,0.103,0.147,0.133,0.141
Texas,5/12/2002,0.101,0.144,0.132,0.14
Texas,5/13/2002,0.099,0.142,0.131,0.138
Texas,5/14/2002,0.098,0.141,0.13,0.138
Texas,5/15/2002,0.096,0.139,0.129,0.136
Texas,5/16/2002,0.095,0.139,0.128,0.135
Texas,5/17/2002,0.093,0.136,0.127,0.134
Texas,5/18/2002,0.092,0.135,0.126,0.133
Texas,5/19/2002,0.091,0.134,0.126,0.132
